Date,Open,High,Low,Close,Adj Close,Volume,Day
2014-03-13,163.740005,164.029999,160.779999,161.050003,131.434189,9500500,171.00
2014-03-14,160.729996,161.600006,160.380005,160.649994,131.107819,8603100,172.00
2014-03-17,161.399994,162.669998,161.330002,162.369995,132.511475,6641400,175.00
2014-03-18,162.690002,163.639999,162.550003,163.279999,133.254181,7094600,176.00
2014-03-19,163.259995,163.570007,161.149994,162.190002,132.364548,7936400,177.00
2014-03-20,161.850006,163.470001,161.479996,163.300003,133.270477,6616200,178.00
2014-03-21,163.470001,164.199997,162.529999,162.630005,132.953262,7629500,179.00
2014-03-24,163.130005,163.460007,161.779999,162.440002,132.798035,6336000,182.00
2014-03-25,163.369995,163.720001,162.570007,163.389999,133.57457,5991100,183.00
2014-03-26,164.070007,164.330002,162.320007,162.330002,132.707977,6133800,184.00
2014-03-27,162.25,162.679993,161.539993,162.279999,132.667053,7713700,185.00
2014-03-28,162.610001,163.820007,162.320007,162.850006,133.133133,4536000,186.00
2014-03-31,163.720001,164.460007,163.639999,164.240005,134.269455,6368400,189.00
2014-04-01,164.669998,165.309998,164.580002,164.949997,134.849854,4076100,190.00
2014-04-02,165.190002,165.570007,164.75,165.369995,135.193237,5597700,191.00
2014-04-03,165.720001,165.75,164.960007,165.339996,135.168808,4452600,192.00
2014-04-04,166.009995,166.059998,163.580002,163.880005,133.975204,10559700,193.00
2014-04-07,163.580002,163.929993,162.119995,162.160004,132.569046,8624100,196.00
2014-04-08,162.100006,162.729996,161.550003,162.330002,132.707977,5930000,197.00
2014-04-09,163,164.139999,162.429993,164.100006,134.154984,6008300,198.00
2014-04-10,164.119995,164.309998,161.270004,161.470001,132.005005,9981500,199.00
2014-04-11,160.669998,161.320007,159.880005,160.020004,130.81955,11067500,200.00
2014-04-14,161.080002,161.619995,160.270004,161.449997,131.988602,6270600,203.00
2014-04-15,161.669998,162.470001,160.380005,162.360001,132.732483,8489000,204.00
2014-04-16,163.429993,164.029999,162.929993,164.020004,134.089539,5864200,205.00
2014-04-17,163.610001,164.190002,163.330002,163.75,133.976685,5790700,206.00
2014-04-21,163.839996,164.25,163.699997,164.029999,134.20575,3066100,210.00
2014-04-22,164.300003,165.300003,164.229996,164.800003,134.835739,4044300,211.00
2014-04-23,164.940002,164.990005,164.449997,164.639999,134.70488,3546100,212.00
2014-04-24,165.009995,165.110001,164.190002,164.690002,134.745834,4028700,213.00
2014-04-25,164.080002,164.190002,163,163.350006,133.649384,5102700,214.00
2014-04-28,164.130005,164.690002,162.779999,164.169998,134.320328,7236900,217.00
2014-04-29,164.619995,165.270004,164.490005,165,134.99942,4581400,218.00
2014-04-30,164.919998,165.600006,164.830002,165.449997,135.367584,4958500,219.00
2014-05-01,165.300003,165.710007,164.899994,165.229996,135.187607,3889400,220.00
2014-05-02,165.160004,165.850006,164.529999,164.75,134.794891,7036100,221.00
2014-05-05,163.970001,165.169998,163.449997,164.929993,134.942215,4059700,224.00
2014-05-06,164.660004,164.679993,163.679993,163.729996,133.960419,5281500,225.00
2014-05-07,164.509995,165.080002,163.389999,165.029999,135.023987,5576200,226.00
2014-05-08,165.020004,166.070007,164.860001,165.350006,135.285812,5997900,227.00
2014-05-09,165.289993,165.779999,164.869995,165.720001,135.588562,4228600,228.00
2014-05-12,166.309998,166.929993,166.279999,166.800003,136.472183,3944700,231.00
2014-05-13,167.100006,167.289993,166.949997,167.050003,136.676651,4133400,232.00
2014-05-14,167.089996,167.139999,165.919998,166.110001,135.907623,3104700,233.00
2014-05-15,165.779999,165.869995,164.020004,164.550003,134.631256,7539300,234.00
2014-05-16,164.160004,164.639999,163.770004,164.610001,135.025864,5115000,235.00
2014-05-19,164.139999,164.910004,164.029999,164.710007,135.10791,2879900,238.00
2014-05-20,164.699997,164.720001,163.039993,163.320007,133.967606,4856600,239.00
2014-05-21,163.949997,165.149994,163.889999,164.979996,135.329269,4898700,240.00
2014-05-22,165.089996,165.389999,164.600006,165.179993,135.493393,3564100,241.00
2014-05-23,165.289993,165.869995,165.190002,165.830002,136.026657,2857000,242.00
2014-05-27,166.449997,166.600006,166.130005,166.470001,136.551498,2561300,246.00
2014-05-28,166.539993,166.550003,165.949997,166.089996,136.239868,3681500,247.00
2014-05-29,166.470001,166.789993,166.029999,166.779999,136.805878,2763500,248.00
2014-05-30,166.600006,167.020004,166.300003,166.929993,136.928772,2769000,249.00
2014-06-02,167.25,167.399994,166.630005,167.199997,137.15033,4453300,252.00
2014-06-03,166.940002,167.199997,166.75,167.020004,137.002716,4125200,253.00
2014-06-04,166.889999,167.270004,166.580002,167.130005,137.092896,2264600,254.00
2014-06-05,167.509995,168.309998,166.919998,168.139999,137.921448,5416500,255.00
2014-06-06,168.580002,169.119995,168.460007,169.080002,138.692398,4118900,256.00
2014-06-09,169.119995,169.580002,169.020004,169.240005,138.8237,2713200,259.00
2014-06-10,169.149994,169.369995,168.839996,169.350006,138.913956,2821400,260.00
2014-06-11,168.75,168.809998,168.089996,168.350006,138.093674,3064100,261.00
2014-06-12,168.289993,168.339996,166.979996,167.289993,137.224152,5409200,262.00
2014-06-13,167.539993,167.830002,167.130005,167.619995,137.494873,2708700,263.00
2014-06-16,167.389999,167.970001,167.149994,167.690002,137.552261,3068300,266.00
2014-06-17,167.429993,168.199997,167.240005,168,137.806564,2884700,267.00
2014-06-18,168.050003,169.059998,167.350006,168.929993,138.569412,4729200,268.00
2014-06-19,169.020004,169.190002,168.539993,169.089996,138.700668,3028000,269.00
2014-06-20,169.25,169.419998,168.960007,169.080002,138.960419,5370700,270.00
2014-06-23,169.059998,169.119995,168.580002,168.910004,138.820602,2729200,273.00
2014-06-24,168.830002,169.330002,167.669998,167.869995,137.965836,4861700,274.00
2014-06-25,167.520004,168.479996,167.509995,168.279999,138.302826,3657500,275.00
2014-06-26,168.380005,168.389999,167.059998,168.080002,138.138489,4052400,276.00
2014-06-27,167.759995,168.25,167.339996,168.169998,138.212402,3092200,277.00
2014-06-30,167.910004,168.350006,167.649994,167.889999,137.982269,6488400,280.00
2014-07-01,168.289993,169.639999,168.229996,169.199997,139.058945,4911500,281.00
2014-07-02,169.309998,169.509995,169.179993,169.399994,139.223312,1929800,282.00
2014-07-03,169.850006,170.470001,169.729996,170.470001,140.102753,2074800,283.00
2014-07-07,169.880005,170.009995,169.550003,169.860001,139.601425,2937700,287.00
2014-07-08,169.580002,169.600006,168.440002,168.850006,138.771301,5438700,288.00
2014-07-09,169.179993,169.729996,168.860001,169.580002,139.371292,3543800,289.00
2014-07-10,167.889999,169.339996,167.699997,168.960007,138.861694,4932100,290.00
2014-07-11,168.770004,169.220001,168.320007,169.199997,139.058945,2830500,291.00
2014-07-14,170.149994,170.610001,170.039993,170.289993,139.954803,2831200,294.00
2014-07-15,170.509995,170.910004,169.779999,170.380005,140.028793,5168100,295.00
2014-07-16,170.960007,171.160004,170.660004,171.070007,140.595871,3197900,296.00
2014-07-17,170.809998,171.320007,169.460007,169.610001,139.39592,6149300,297.00
2014-07-18,169.949997,170.759995,169.740005,170.580002,140.343689,6924600,298.00
2014-07-21,170.100006,170.380005,169.360001,170.179993,140.014587,2886600,301.00
2014-07-22,170.559998,170.960007,170.429993,170.740005,140.475403,3798200,302.00
2014-07-23,170.809998,170.809998,170.199997,170.559998,140.32724,2607900,303.00
2014-07-24,170.660004,170.850006,170.220001,170.440002,140.228592,3226000,304.00
2014-07-25,169.770004,169.850006,168.759995,169.160004,139.175491,5714000,305.00
2014-07-28,169.229996,169.649994,168.369995,169.410004,139.381088,3606100,308.00
2014-07-29,169.889999,170.190002,168.779999,168.779999,138.862808,3683100,309.00
2014-07-30,169.270004,169.520004,167.779999,168.479996,138.615952,5446600,310.00
2014-07-31,167.270004,167.429993,165.289993,165.289993,135.991394,9038800,311.00
2014-08-01,164.800003,165.509995,164.009995,164.570007,135.399033,7435100,312.00
2014-08-04,164.800003,165.610001,164.110001,165.330002,136.024292,4400000,315.00
2014-08-05,164.800003,165.139999,163.339996,163.919998,134.864166,8522800,316.00
2014-08-06,163.460007,164.75,163.369995,164.199997,135.094543,4781100,317.00
2014-08-07,164.850006,164.889999,163.130005,163.550003,134.559845,4962400,318.00
2014-08-08,163.669998,165.380005,163.440002,165.339996,136.032578,5412300,319.00
2014-08-11,165.960007,166.149994,165.470001,165.550003,136.205338,5761500,322.00
2014-08-12,165.279999,165.770004,165,165.490005,136.156021,3274300,323.00
2014-08-13,166,166.660004,165.759995,166.490005,136.978668,2841700,324.00
2014-08-14,166.690002,167.100006,166.460007,167.100006,137.480606,2752400,325.00
2014-08-15,167.419998,167.460007,165.440002,166.350006,137.1064,7032500,326.00
2014-08-18,167.25,168.119995,167.229996,168.059998,138.515762,2975200,329.00
2014-08-19,168.639999,169.020004,168.330002,168.889999,139.199905,3057200,330.00
2014-08-20,168.720001,169.740005,168.720001,169.600006,139.78511,3108800,331.00
2014-08-21,169.809998,170.529999,169.690002,170.179993,140.263046,2652600,332.00
2014-08-22,170.009995,170.479996,169.649994,169.869995,140.007599,5152200,333.00
